name,site_type,link,unique_id,gallery_url,picture_url
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,cultural,https://whc.unesco.org/en/list/481,481,https://whc.unesco.org/en/list/481/gallery,https://whc.unesco.org/uploads/thumbs/site_0481_0011-1200-630-20151105114609.jpg
Phong Nha-Ke Bang National Park and Hin Nam No National Park,natural,https://whc.unesco.org/en/list/951,951,https://whc.unesco.org/en/list/951/gallery,https://whc.unesco.org/uploads/thumbs/site_0951_0035-1200-630-20250713120332.jpg
Megalithic Jar Sites in Xiengkhuang – Plain of Jars,cultural,https://whc.unesco.org/en/list/1587,1587,https://whc.unesco.org/en/list/1587/gallery,https://whc.unesco.org/uploads/thumbs/site_1587_0030-1200-630-20211208092714.jpg
Historic Centre of Riga,cultural,https://whc.unesco.org/en/list/852,852,https://whc.unesco.org/en/list/852/gallery,https://whc.unesco.org/uploads/thumbs/site_0852_0031-1200-630-20220217112212.jpg
Struve Geodetic Arc,cultural,https://whc.unesco.org/en/list/1187,1187,https://whc.unesco.org/en/list/1187/gallery,https://whc.unesco.org/uploads/thumbs/site_1187_0001-1200-630-20151104154840.jpg
Old town of Kuldīga,cultural,https://whc.unesco.org/en/list/1658,1658,https://whc.unesco.org/en/list/1658/gallery,https://whc.unesco.org/uploads/thumbs/site_1658_0005-1200-630-20220427120355.jpg
Anjar,cultural,https://whc.unesco.org/en/list/293,293,https://whc.unesco.org/en/list/293/gallery,https://whc.unesco.org/uploads/thumbs/site_0293_0001-1200-630-20151104123225.jpg
Baalbek,cultural,https://whc.unesco.org/en/list/294,294,https://whc.unesco.org/en/list/294/gallery,https://whc.unesco.org/uploads/thumbs/site_0294_0007-1200-630-20151104123323.jpg
Byblos,cultural,https://whc.unesco.org/en/list/295,295,https://whc.unesco.org/en/list/295/gallery,https://whc.unesco.org/uploads/thumbs/site_0295_0001-1200-630-20151104123418.jpg
Tyre,cultural,https://whc.unesco.org/en/list/299,299,https://whc.unesco.org/en/list/299/gallery,https://whc.unesco.org/uploads/thumbs/site_0299_0001-1200-630-20151105121227.jpg
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),cultural,https://whc.unesco.org/en/list/850,850,https://whc.unesco.org/en/list/850/gallery,https://whc.unesco.org/uploads/thumbs/site_0850_0003-1200-630-20151104123505.jpg
